score,year,set,card,number,parallel,total_pop,gem_pop,gem_rate_pct,recent_sales,oldest_comp,latest_comp,momentum_pct,ebay_url,url
0.5987,1992,Upper Deck,Shaquille O'Neal,1b,Trade Card,17218,521,3.03,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1992+Upper+Deck+Shaquille+O%27Neal+Trade+Card+%231b+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1992&set_name=Upper%20Deck&card_number=1b&name=Shaquille%20O%27Neal&parallel=Trade%20Card
0.5981,1986,Fleer,Akeem Olajuwon,82,Base,13489,355,2.63,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1986+Fleer+Akeem+Olajuwon+%2382+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1986&set_name=Fleer&card_number=82&name=Akeem%20Olajuwon&parallel=Base
0.5918,1996,Ultra,Kobe Bryant,52,Base,12421,358,2.88,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1996+Ultra+Kobe+Bryant+%2352+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1996&set_name=Ultra&card_number=52&name=Kobe%20Bryant&parallel=Base
0.5886,1989,Fleer,Michael Jordan,21,Base,28721,1285,4.47,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1989+Fleer+Michael+Jordan+%2321+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1989&set_name=Fleer&card_number=21&name=Michael%20Jordan&parallel=Base
0.5845,1990,Fleer All-Stars,Michael Jordan,5,Base,18579,748,4.03,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1990+Fleer+All-Stars+Michael+Jordan+%235+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1990&set_name=Fleer%20All-Stars&card_number=5&name=Michael%20Jordan&parallel=Base
0.5664,1996,Metal,Kobe Bryant,181,Base,17312,871,5.03,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1996+Metal+Kobe+Bryant+%23181+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1996&set_name=Metal&card_number=181&name=Kobe%20Bryant&parallel=Base
0.5418,1991,Fleer,Michael Jordan,29,Base,17654,1160,6.57,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1991+Fleer+Michael+Jordan+%2329+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1991&set_name=Fleer&card_number=29&name=Michael%20Jordan&parallel=Base
0.5398,1990,Skybox,Michael Jordan,41,Base,27972,2038,7.29,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1990+Skybox+Michael+Jordan+%2341+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1990&set_name=Skybox&card_number=41&name=Michael%20Jordan&parallel=Base
0.5316,1989,Hoops,David Robinson,138,Base,13498,922,6.83,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1989+Hoops+David+Robinson+%23138+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1989&set_name=Hoops&card_number=138&name=David%20Robinson&parallel=Base
0.5302,1996,Hoops,Kobe Bryant,281,Base,11209,747,6.66,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1996+Hoops+Kobe+Bryant+%23281+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1996&set_name=Hoops&card_number=281&name=Kobe%20Bryant&parallel=Base
0.5216,1990,Hoops,Michael Jordan,5,All-Star,11882,866,7.29,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1990+Hoops+Michael+Jordan+All-Star+%235+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1990&set_name=Hoops&card_number=5&name=Michael%20Jordan&parallel=All-Star
0.5206,1992,Topps Archives,Michael Jordan,52,Base,10986,796,7.25,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1992+Topps+Archives+Michael+Jordan+%2352+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1992&set_name=Topps%20Archives&card_number=52&name=Michael%20Jordan&parallel=Base
